,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
80,_,_,_,_,_,_,_,_,_,0
81,X,X,Y,Y,Y,X,X,_,Y,7
82,X,Y,X,X,Y,_,Y,X,Y,5
83,X,Y,X,X,Y,_,Y,_,_,7
84,Y,X,X,X,Y,Y,Y,_,X,7
85,Y,_,X,_,X,_,Y,_,_,3
86,Y,_,X,X,X,Y,Y,_,_,1
87,_,_,_,_,_,_,Y,_,_,0
88,_,Y,_,_,_,_,_,_,_,4
89,Y,_,Y,Y,X,_,X,_,_,1
90,X,_,_,_,Y,_,_,_,Y,6
91,Y,X,X,X,X,Y,Y,Y,_,8
92,X,Y,X,X,Y,Y,Y,X,_,8
93,Y,_,_,_,X,_,_,_,_,2
94,X,Y,_,_,Y,_,_,_,_,7
95,X,_,Y,Y,Y,_,X,_,_,5
96,_,_,_,_,Y,_,_,_,_,0
97,_,_,_,_,_,_,_,_,_,0
98,_,_,_,_,_,_,_,_,_,0
99,Y,Y,X,_,X,_,Y,X,_,3
100,X,X,Y,_,Y,_,_,_,_,6
101,_,_,_,_,_,_,_,_,_,0
102,X,_,Y,Y,Y,X,X,X,Y,1
103,Y,X,Y,X,X,Y,X,Y,_,8
104,X,X,Y,_,Y,_,_,_,_,6
105,_,_,_,_,_,_,_,_,_,0
106,Y,_,_,X,X,Y,_,_,_,1
107,Y,_,_,_,_,_,_,_,_,4
108,Y,_,Y,_,_,_,X,_,X,1
109,X,Y,_,Y,_,_,_,_,_,4
110,_,_,_,_,_,_,_,_,_,0
111,_,_,Y,_,X,_,_,_,Y,1
112,Y,X,Y,Y,X,X,X,Y,_,8
113,X,Y,_,_,Y,_,_,_,_,7
114,_,_,_,_,_,_,_,_,_,0
115,X,X,Y,_,Y,_,_,_,_,6
116,_,_,_,_,_,_,_,_,_,0
117,X,_,Y,Y,Y,_,X,_,_,5
118,_,_,_,_,X,Y,_,_,Y,1
119,Y,Y,X,X,X,Y,Y,_,_,7
120,Y,_,Y,_,X,_,_,_,_,1
121,_,_,Y,_,_,_,_,_,_,0
122,X,Y,X,X,Y,_,Y,_,_,7
123,Y,Y,X,X,X,Y,Y,_,_,7
124,_,_,Y,_,X,_,_,_,_,0
125,X,_,_,Y,Y,_,X,Y,_,1
126,Y,_,_,_,_,_,_,_,_,4
127,X,_,Y,Y,Y,_,X,_,_,5
128,X,Y,X,_,Y,Y,Y,X,_,3
129,Y,X,Y,Y,X,_,X,Y,_,5
130,X,_,_,_,Y,_,_,_,_,2
131,_,_,_,_,_,_,_,_,_,0
132,X,_,Y,_,Y,_,_,_,_,6
133,Y,_,X,X,X,Y,Y,_,_,1
134,X,Y,X,_,Y,_,Y,_,_,7
135,Y,X,_,X,X,Y,_,Y,_,2
136,Y,_,_,_,X,_,_,_,_,2
137,Y,_,Y,Y,X,_,X,_,_,1
138,Y,X,Y,_,X,Y,X,Y,_,8
139,Y,Y,X,X,X,Y,Y,X,_,8
140,X,_,_,_,Y,_,_,_,_,2
141,_,_,_,_,Y,_,X,_,_,0
142,Y,_,_,_,_,_,_,_,_,4
143,Y,_,_,X,X,Y,Y,_,_,7
144,_,_,_,_,_,_,_,_,_,0
145,Y,_,_,_,_,_,_,_,_,4
146,_,X,_,_,Y,_,_,_,_,0
147,Y,X,Y,Y,X,_,X,Y,_,5
148,Y,X,Y,_,X,_,X,Y,_,5
149,Y,_,X,_,X,_,Y,_,_,3
150,X,Y,X,Y,_,_,_,_,Y,4
151,Y,X,Y,_,_,_,X,Y,X,5
152,Y,_,Y,_,X,X,_,_,_,1
153,_,_,_,_,_,_,_,_,_,0
154,X,Y,X,X,Y,_,Y,X,Y,5
155,Y,X,X,X,X,Y,Y,Y,_,8
156,Y,Y,X,X,X,Y,Y,X,_,8
157,Y,X,Y,Y,X,_,X,Y,_,5
158,Y,X,X,_,Y,_,_,_,_,8
159,X,Y,X,_,_,_,Y,_,Y,7
160,X,X,Y,Y,Y,X,_,Y,_,6
161,Y,_,X,_,X,_,Y,_,_,3
162,_,_,_,_,_,_,_,_,_,0
163,X,_,_,_,Y,_,_,_,_,2
164,X,X,Y,Y,Y,_,X,_,_,5
165,Y,_,X,_,X,_,Y,_,_,3
166,X,Y,X,_,Y,Y,Y,X,_,3
167,X,_,Y,_,Y,_,_,_,_,6
168,X,Y,_,_,Y,_,Y,X,_,2
169,X,_,Y,Y,Y,_,X,_,_,5
170,X,X,Y,_,Y,_,_,_,_,6
171,_,_,_,_,_,_,_,_,_,0
172,Y,X,Y,Y,X,_,_,_,_,6
173,Y,_,_,_,X,_,Y,_,_,3
174,_,_,_,_,_,_,_,_,_,0
175,_,_,_,_,_,_,_,_,_,0
176,Y,_,X,_,X,_,Y,_,_,3
177,_,_,_,_,_,_,_,_,_,0
178,_,_,_,_,_,_,_,_,_,0
179,Y,X,Y,_,X,_,X,Y,_,5
180,Y,_,X,X,X,Y,Y,_,_,1
181,Y,_,Y,_,_,_,X,_,X,1
182,Y,_,_,_,_,_,X,_,_,4
183,X,_,_,_,Y,_,_,_,_,2
184,_,_,_,_,Y,_,_,_,_,0
185,X,_,Y,Y,Y,_,X,_,_,5
186,X,_,Y,_,Y,_,_,_,_,6
187,X,_,Y,Y,Y,_,X,_,_,5
188,X,Y,X,X,Y,Y,Y,X,_,8
189,_,_,_,_,_,_,_,_,_,0
190,X,_,_,_,Y,_,_,_,_,2
191,X,Y,X,_,Y,Y,_,X,_,3
192,X,_,Y,_,_,_,Y,_,_,4
193,Y,_,_,_,_,_,_,_,_,4
194,X,Y,Y,Y,_,X,X,_,Y,7
195,X,_,_,Y,Y,_,X,_,_,1
196,Y,_,Y,_,X,X,_,_,_,1
197,Y,_,X,_,_,_,_,_,_,4
198,_,_,_,Y,X,_,Y,_,_,0
199,X,Y,X,X,Y,_,Y,_,_,7
200,Y,X,Y,Y,X,X,X,Y,_,8
201,X,_,_,_,Y,_,Y,_,_,2
202,_,_,_,_,_,_,_,_,_,0
203,_,_,_,_,_,_,_,_,_,0
204,Y,_,X,_,_,_,_,_,_,4
205,Y,X,X,Y,Y,_,_,_,X,5
206,_,_,_,_,_,_,_,_,_,0
207,_,_,_,_,_,_,_,_,_,0
208,_,Y,_,_,Y,X,_,_,X,7
209,X,Y,_,_,Y,_,_,_,_,7
210,X,X,Y,_,Y,_,_,_,_,6
211,X,X,Y,Y,Y,_,X,_,_,5
212,Y,_,Y,_,X,Y,X,_,_,1
213,X,_,Y,Y,Y,_,X,X,_,5
214,Y,_,_,_,X,_,Y,_,_,3
215,_,_,_,_,_,_,_,_,_,0
216,Y,_,X,_,_,_,_,_,_,4
217,X,_,Y,_,X,_,Y,_,Y,5
218,Y,_,_,_,X,_,Y,_,_,3
219,Y,X,_,_,_,_,Y,_,X,3
220,Y,_,_,Y,X,_,_,_,_,6
221,_,_,_,_,_,_,_,_,_,0
222,Y,X,Y,_,X,_,_,Y,_,3
223,X,Y,X,Y,Y,_,Y,X,_,5
224,Y,_,X,_,Y,Y,X,_,X,3
225,X,Y,X,_,Y,_,_,_,_,3
226,_,_,_,_,_,_,_,_,_,0
227,X,Y,Y,Y,Y,X,_,X,_,6
228,_,_,Y,_,_,_,_,_,_,0
229,_,_,_,Y,_,_,_,_,_,4
230,Y,_,_,_,X,_,_,_,_,2
231,_,_,_,_,_,_,_,_,_,0
232,Y,_,_,_,X,_,_,_,_,2
233,X,Y,_,_,Y,_,_,_,_,7
234,X,Y,X,Y,Y,_,Y,X,_,5
235,X,_,_,_,Y,_,_,_,_,2
236,_,_,_,_,_,_,_,_,_,0
237,X,_,Y,Y,Y,_,X,_,_,5
238,Y,_,X,X,Y,_,_,Y,X,1
239,X,_,_,_,Y,_,_,_,_,2
240,_,_,_,_,Y,_,_,_,_,0
241,Y,_,_,_,_,_,_,_,_,4
242,X,Y,_,_,_,_,_,_,Y,6
243,_,_,Y,_,_,_,_,_,_,0
244,Y,_,_,_,_,_,_,_,_,4
245,Y,_,_,_,X,_,_,_,_,2
246,X,Y,Y,_,X,_,_,_,Y,3
247,X,_,_,X,Y,_,Y,_,_,2
248,X,Y,X,Y,Y,_,Y,X,_,5
249,Y,_,_,X,_,_,_,_,_,4
250,X,_,_,_,Y,_,_,_,_,2
251,X,_,Y,_,Y,_,_,_,_,6
252,Y,X,Y,Y,X,_,X,Y,_,5
253,Y,X,X,X,X,Y,Y,Y,_,8
254,X,_,Y,_,_,_,_,_,Y,6
255,Y,X,Y,Y,X,_,_,_,_,6
256,Y,_,_,X,X,Y,Y,_,_,7
257,_,_,_,_,_,_,_,Y,_,0
258,X,Y,X,Y,Y,_,Y,X,_,5
259,_,_,_,Y,Y,_,X,X,_,5
260,Y,_,_,_,X,_,Y,_,_,3
261,X,_,Y,_,Y,_,_,_,_,6
262,Y,X,Y,Y,X,_,X,Y,_,5
263,_,_,_,_,_,_,_,_,_,0
264,Y,_,Y,_,X,_,_,_,_,1
265,X,Y,X,_,Y,_,_,_,_,3
266,_,_,_,_,Y,_,_,_,_,0
267,_,_,_,_,Y,_,X,_,_,0
268,_,X,_,_,Y,_,_,_,_,0
269,_,Y,_,_,_,_,_,_,_,4
270,X,Y,X,_,Y,_,Y,_,_,7
271,_,X,_,_,Y,_,_,_,_,0
272,Y,X,Y,_,X,_,_,Y,_,3
273,Y,_,_,_,X,_,_,_,_,2
274,_,_,_,_,_,_,_,_,_,0
275,X,Y,_,_,_,_,_,_,Y,6
276,X,Y,X,X,Y,Y,Y,X,_,8
277,X,_,Y,Y,Y,X,_,_,_,6
278,X,Y,X,_,Y,_,Y,_,_,7
279,Y,Y,X,X,X,Y,Y,X,_,8
280,_,_,Y,Y,X,_,_,_,_,0
281,_,_,_,_,_,_,_,_,_,0
282,X,X,Y,Y,Y,X,X,_,Y,7
283,X,X,Y,Y,Y,X,X,Y,_,8
284,X,_,_,_,Y,_,_,_,_,2
285,Y,_,X,X,X,Y,Y,_,_,1
286,X,_,_,Y,Y,_,X,_,_,1
287,X,_,_,_,Y,_,_,_,_,2
288,_,_,_,_,_,_,_,_,_,0
289,X,Y,X,_,Y,_,Y,_,_,7
290,Y,Y,_,X,X,_,Y,_,_,2
291,Y,Y,_,X,X,_,Y,_,_,2
292,Y,X,Y,_,X,_,X,Y,_,5
293,X,Y,_,_,Y,_,_,_,_,7
294,Y,_,Y,_,X,Y,X,_,_,1
295,Y,_,X,_,Y,_,X,_,_,8
296,Y,_,_,X,X,Y,_,_,Y,7
297,X,X,Y,Y,Y,X,X,Y,_,8
298,_,_,_,_,_,_,_,_,_,0
299,X,Y,X,_,Y,_,Y,_,_,7
300,X,Y,X,_,Y,Y,_,X,_,3
301,Y,X,_,_,X,_,_,Y,_,6
302,Y,_,_,_,X,_,_,Y,_,2
303,X,_,_,_,Y,_,_,_,_,2
304,Y,_,_,_,X,_,_,_,_,2
305,X,Y,X,X,Y,_,Y,_,_,7
306,X,Y,X,_,Y,_,_,_,_,3
307,Y,X,_,_,X,_,_,Y,_,6
308,X,_,_,X,Y,_,Y,_,_,2
309,X,_,Y,Y,Y,X,X,Y,_,1
310,Y,_,_,_,X,_,_,_,_,2
311,_,X,_,_,Y,_,_,_,_,0
312,Y,_,X,X,X,Y,Y,_,_,1
313,X,_,_,_,Y,_,_,_,_,2
314,Y,X,Y,Y,X,_,X,Y,_,5
315,_,_,_,_,_,_,_,_,_,0
316,X,Y,X,X,Y,_,Y,_,_,7
317,X,_,Y,Y,X,X,Y,_,Y,7
318,Y,X,X,X,X,Y,Y,Y,_,8
319,X,Y,Y,Y,Y,X,X,_,_,7
320,Y,_,_,Y,X,_,_,_,_,6
321,X,X,Y,Y,Y,X,X,Y,_,8
322,_,_,_,_,_,_,Y,_,_,0
323,X,_,_,_,Y,_,_,_,_,2
324,_,_,_,_,_,_,_,_,_,0
325,_,_,_,_,_,_,_,_,_,0
326,X,Y,X,_,Y,_,Y,_,_,7
327,_,_,_,_,_,_,_,_,_,0
328,X,Y,_,_,X,_,Y,_,Y,5
329,_,_,_,_,_,_,_,_,_,0
330,Y,Y,_,X,X,_,Y,_,_,2
331,Y,_,Y,_,X,_,X,_,Y,1
332,Y,_,X,_,_,_,_,_,_,4
333,X,Y,_,_,Y,_,_,_,_,7
334,Y,_,X,_,X,_,Y,_,_,3
335,X,_,Y,Y,Y,X,X,Y,_,1
336,Y,X,Y,_,X,_,_,Y,_,3
337,Y,Y,X,X,X,Y,Y,_,_,7
338,_,_,_,Y,_,_,_,_,_,4
339,Y,Y,X,X,X,_,Y,_,_,5
340,Y,_,Y,_,X,_,_,_,_,1
341,X,Y,_,Y,Y,X,X,X,Y,2
342,Y,X,X,X,X,Y,Y,Y,_,8
343,Y,Y,X,X,X,Y,Y,X,_,8
344,_,_,_,_,Y,_,X,_,_,0
345,Y,X,Y,Y,X,X,X,Y,_,8
346,Y,_,X,_,X,_,Y,_,_,3
347,X,_,Y,_,Y,_,_,_,_,6
348,Y,Y,_,X,X,_,Y,_,_,2
349,_,_,Y,_,_,_,_,_,_,0
350,_,_,_,_,Y,_,X,_,_,0
351,_,_,_,_,_,_,_,_,_,0
352,Y,_,_,_,_,_,_,_,_,4
353,Y,X,Y,X,X,Y,X,Y,_,8
354,X,_,Y,_,_,_,Y,_,_,4
355,Y,Y,X,X,X,Y,Y,_,_,7
356,X,Y,Y,Y,Y,X,_,X,_,6
357,X,_,_,Y,Y,_,X,_,_,1
358,Y,Y,X,X,X,Y,Y,_,_,7
359,Y,_,_,_,X,_,Y,_,_,3
360,_,_,_,_,Y,_,_,_,_,0
361,Y,X,Y,_,X,Y,_,_,_,7
362,Y,_,Y,_,X,_,_,_,_,1
363,Y,_,_,_,_,_,X,_,_,4
364,Y,_,_,_,X,_,_,Y,_,2
365,Y,_,_,_,_,_,_,X,_,4
366,X,X,Y,Y,Y,X,X,_,Y,7
367,X,X,Y,Y,Y,_,X,_,_,5
368,Y,X,Y,X,X,Y,_,Y,_,8
369,_,Y,Y,_,X,_,_,_,_,0
370,Y,_,Y,_,X,_,_,_,_,1
371,Y,_,_,_,_,_,_,_,_,4
372,Y,Y,X,_,X,_,Y,_,_,3
373,_,_,_,_,_,_,_,Y,_,0
374,_,_,_,_,_,_,_,_,_,0
375,X,_,_,_,Y,_,_,_,_,2
376,Y,X,Y,Y,X,_,_,_,_,6
377,Y,_,_,_,X,_,_,_,_,2
378,Y,Y,X,_,X,_,Y,_,_,3
379,X,Y,X,Y,Y,X,Y,_,_,7
380,X,Y,X,X,Y,_,Y,X,Y,5
381,Y,X,Y,_,X,_,X,Y,_,5
382,X,Y,X,_,Y,_,_,_,Y,3
383,X,_,_,_,Y,_,_,_,_,2
384,Y,_,Y,_,X,_,_,_,_,1
385,X,Y,X,_,Y,Y,Y,X,_,3
386,Y,_,_,X,X,Y,_,_,_,1
387,X,_,_,X,Y,_,Y,_,_,2
388,X,Y,_,_,_,_,_,_,Y,6
389,X,_,Y,Y,X,_,_,_,Y,7
390,Y,Y,X,_,X,_,Y,X,_,3
391,Y,_,_,X,X,Y,Y,_,_,7
392,Y,X,X,X,Y,Y,_,Y,X,6
393,Y,_,_,_,X,_,_,Y,_,2
394,Y,Y,X,X,X,Y,Y,_,_,7
395,Y,X,Y,Y,X,X,X,Y,_,8
396,X,Y,X,X,Y,Y,Y,X,_,8
397,_,X,_,Y,X,_,Y,_,Y,0
398,Y,_,Y,X,_,_,Y,X,X,4
399,_,_,_,_,_,_,_,_,_,0
400,X,Y,X,_,Y,_,_,_,_,3
401,X,_,Y,Y,Y,X,X,X,Y,1
402,Y,_,_,_,X,_,_,_,_,2
403,Y,_,X,_,Y,_,X,Y,X,1
404,Y,_,X,X,X,Y,Y,_,_,1
405,Y,Y,_,X,X,_,Y,_,_,2
406,X,X,Y,_,Y,_,_,_,_,6
407,Y,X,Y,X,X,Y,X,Y,_,8
408,Y,X,Y,Y,X,X,X,Y,_,8
409,X,Y,_,Y,Y,_,_,X,_,5
410,Y,X,Y,Y,X,X,X,Y,_,8
411,Y,Y,X,X,X,Y,Y,_,_,7
412,_,_,_,_,_,_,_,_,_,0
413,Y,_,_,_,_,_,X,_,_,4
414,Y,_,_,_,X,_,_,_,_,2
415,Y,_,_,X,X,Y,_,_,_,1
416,_,_,_,_,_,_,_,_,_,0
417,Y,Y,X,X,X,Y,Y,X,_,8
418,_,_,Y,_,_,_,_,_,_,0
419,_,_,_,_,_,_,_,_,_,0
420,_,_,_,_,Y,_,_,_,_,0
421,Y,X,X,X,X,Y,Y,Y,_,8
422,Y,_,_,_,_,_,_,_,_,4
423,_,_,_,_,_,_,_,_,_,0
424,_,X,_,_,Y,_,_,_,_,0
425,Y,X,_,_,X,_,_,Y,_,6
426,X,Y,_,Y,Y,X,X,_,_,7
427,_,_,_,_,_,_,_,_,_,0
428,_,_,_,_,_,_,_,_,_,0
429,X,X,Y,Y,Y,X,X,_,Y,7
430,_,_,_,_,_,_,_,_,_,0
431,_,_,_,_,_,_,_,_,Y,0
432,Y,X,Y,_,X,_,X,Y,_,5
433,Y,_,_,_,X,_,_,Y,_,2
434,X,_,_,_,Y,_,Y,_,_,2
435,X,Y,X,_,Y,X,Y,X,Y,3
436,X,Y,_,Y,Y,X,X,X,Y,2
437,X,_,Y,_,Y,_,_,_,_,6
438,X,Y,X,X,Y,_,Y,_,_,7
439,_,_,_,_,_,_,_,_,_,0
440,Y,_,_,_,X,_,Y,_,_,3
441,X,_,Y,Y,Y,_,X,_,_,5
442,Y,_,_,_,X,_,_,_,_,2
443,_,_,_,X,Y,_,_,_,_,0
444,Y,_,Y,Y,X,X,X,_,_,1
445,X,_,Y,Y,Y,_,X,_,_,5
446,X,Y,X,_,_,_,Y,_,Y,7
447,Y,_,_,_,X,_,_,_,_,2
448,_,Y,_,_,_,_,_,_,_,4
449,X,_,_,_,Y,_,Y,_,_,2
450,X,Y,_,_,Y,_,_,_,_,7
451,Y,_,X,X,X,Y,Y,_,_,1
452,X,X,Y,Y,Y,X,X,_,Y,7
453,_,_,_,_,_,_,_,_,_,0
454,_,_,_,_,_,_,_,_,_,0
455,Y,X,X,X,Y,Y,Y,_,X,7
456,Y,_,X,X,X,Y,Y,_,_,1
457,Y,_,_,_,X,_,_,_,_,2
458,X,_,_,_,_,_,Y,_,Y,2
459,X,Y,Y,Y,X,_,_,X,Y,5
460,Y,Y,X,X,X,Y,Y,X,_,8
461,_,X,Y,Y,X,X,_,Y,Y,6
462,X,_,_,Y,Y,_,_,_,_,5
463,X,_,_,Y,Y,_,X,_,_,1
464,Y,_,_,X,X,Y,Y,_,_,7
465,Y,_,_,_,X,_,Y,_,_,3
466,X,Y,X,_,Y,_,_,_,_,3
467,_,_,_,_,_,_,_,_,_,0
468,X,_,Y,Y,X,X,Y,_,Y,7
469,Y,_,Y,_,X,_,X,_,_,1
470,Y,X,Y,Y,X,X,_,_,_,6
471,X,_,_,_,Y,_,_,_,_,2
472,X,_,Y,_,_,_,Y,_,_,4
473,X,X,Y,Y,X,_,Y,_,Y,7
474,Y,X,Y,_,X,_,X,Y,_,5
475,Y,_,Y,_,X,Y,X,_,_,1
476,_,_,_,_,_,_,_,_,_,0
477,X,Y,X,_,Y,_,_,_,_,3
478,Y,Y,X,X,X,Y,Y,X,_,8
479,_,_,_,_,Y,_,_,_,_,0
480,Y,X,Y,Y,X,_,X,Y,_,5
481,Y,X,Y,Y,X,_,X,Y,_,5
482,Y,X,Y,Y,X,_,X,Y,_,5
483,X,_,_,_,Y,_,_,_,_,2
484,X,Y,X,Y,Y,_,Y,X,_,5
485,X,_,Y,Y,X,_,_,_,Y,7
486,X,Y,Y,Y,Y,_,X,X,_,5
487,_,_,_,_,_,_,_,_,_,0
488,_,Y,_,_,_,_,_,_,_,4
489,Y,Y,X,X,X,Y,Y,_,_,7
490,_,Y,_,_,_,_,_,_,_,4
491,Y,_,_,X,X,Y,_,_,_,1
492,_,_,_,_,_,_,_,_,_,0
493,X,X,Y,Y,X,_,Y,_,Y,7
494,X,Y,X,X,Y,_,Y,_,_,7
495,Y,_,Y,X,X,Y,X,_,_,1
496,Y,_,_,_,_,X,_,_,_,4
497,X,Y,_,_,_,_,Y,_,_,4
498,Y,X,_,X,X,Y,Y,Y,_,8
499,_,_,_,_,Y,_,_,_,_,0
500,X,Y,Y,Y,Y,_,X,X,_,5
501,_,_,_,_,_,_,_,_,_,0
502,X,_,Y,Y,X,X,Y,_,Y,7
503,Y,X,Y,Y,X,_,X,Y,_,5
504,X,X,Y,_,Y,_,_,Y,_,6
505,_,_,_,_,Y,_,_,_,_,0
506,Y,_,_,Y,X,_,_,_,_,6
507,_,_,_,_,Y,_,_,_,_,0
508,_,_,_,_,Y,_,_,_,_,0
509,_,_,Y,_,_,_,_,_,_,0
510,_,_,_,_,_,_,_,_,_,0
511,X,_,_,_,Y,_,_,_,_,2
512,Y,Y,_,X,X,_,Y,_,_,2
513,X,_,Y,_,_,_,Y,_,_,4
514,Y,_,_,Y,X,_,_,_,_,6
515,_,_,_,Y,X,_,Y,_,_,0
516,Y,_,_,_,X,_,_,_,_,2
517,_,_,Y,_,_,_,_,_,_,0
518,X,X,Y,Y,Y,_,X,_,_,5
519,X,Y,X,_,Y,Y,_,X,_,3
520,X,Y,X,_,Y,Y,Y,X,_,3
521,Y,Y,X,X,X,Y,Y,_,_,7
522,Y,Y,_,X,X,Y,Y,X,_,2
523,Y,_,X,X,X,Y,Y,_,_,1
524,X,Y,X,Y,Y,_,Y,X,_,5
525,X,_,_,Y,Y,_,X,_,_,1
526,X,Y,X,X,Y,Y,Y,X,_,8
527,_,_,_,_,_,_,_,Y,_,0
528,Y,Y,X,_,X,_,Y,_,_,3
529,Y,_,_,_,_,_,X,_,_,4
530,Y,_,_,_,_,_,_,_,_,4
531,X,X,Y,_,Y,_,_,_,_,6
532,Y,Y,_,_,X,_,_,_,_,2
533,_,_,_,_,Y,_,_,_,_,0
534,_,_,_,_,_,_,_,_,_,0
535,_,_,_,_,_,_,_,_,_,0
536,Y,_,_,_,_,_,_,_,_,4
537,Y,X,Y,Y,X,X,_,Y,_,6
538,Y,_,_,_,_,_,_,_,_,4
539,Y,_,_,_,X,_,_,_,_,2
540,X,Y,X,X,Y,Y,Y,X,_,8
541,X,_,Y,Y,Y,_,X,_,_,5
542,Y,_,_,_,_,_,_,_,X,6
543,_,_,_,_,Y,_,_,_,_,0
544,X,Y,_,_,Y,_,_,_,_,7
545,Y,Y,X,_,X,_,Y,_,_,3
546,Y,X,Y,Y,X,_,_,_,_,6
547,Y,_,_,_,_,_,_,_,_,4
548,X,_,_,Y,Y,_,_,_,_,5
549,_,_,_,_,_,_,_,_,_,0
550,X,Y,X,X,Y,Y,Y,X,_,8
551,Y,X,Y,Y,X,X,X,Y,_,8
552,_,_,_,_,Y,X,_,_,_,0
553,_,_,_,_,_,_,_,_,_,0
554,X,Y,Y,Y,Y,X,_,X,_,6
555,Y,_,_,_,_,_,_,_,X,6
556,Y,_,_,_,X,_,_,_,_,2
557,Y,Y,X,X,X,Y,Y,X,_,8
558,X,_,_,_,Y,_,_,_,_,2
559,X,_,Y,_,_,_,Y,_,_,4
560,Y,_,X,_,_,_,_,_,_,4
561,Y,X,X,X,X,Y,Y,Y,_,8
562,X,_,_,Y,Y,_,X,_,_,1
563,_,Y,_,_,_,_,_,_,_,4
564,Y,_,_,X,Y,_,_,X,_,8
565,X,X,Y,Y,Y,_,X,_,_,5
566,_,_,_,_,_,_,_,_,_,0
567,_,_,_,_,_,_,_,_,_,0
568,_,_,_,_,Y,_,_,_,_,0
569,Y,Y,X,_,X,_,Y,X,_,3
570,Y,_,Y,_,X,_,X,_,_,1
571,Y,_,_,_,_,_,_,_,_,4
572,Y,_,Y,_,_,_,X,_,X,1
573,X,_,Y,Y,Y,_,X,_,_,5
574,_,_,_,_,_,_,_,_,_,0
